,날짜,종가
0,2023.08.31,"66,900"
1,2023.08.30,"67,100"
2,2023.08.29,"66,800"
3,2023.08.28,"66,800"
4,2023.08.25,"67,100"
5,2023.08.24,"68,200"
6,2023.08.23,"67,100"
7,2023.08.22,"66,600"
8,2023.08.21,"66,600"
9,2023.08.18,"66,300"
10,2023.08.17,"66,700"
11,2023.08.16,"67,000"
12,2023.08.14,"67,300"
13,2023.08.11,"67,500"
14,2023.08.10,"68,000"
15,2023.08.09,"68,900"
16,2023.08.08,"67,600"
17,2023.08.07,"68,500"
18,2023.08.04,"68,300"
19,2023.08.03,"68,800"
20,2023.08.02,"69,900"
21,2023.08.01,"71,100"
