,Unnamed: 0,날짜,본문,본문%,종가,주가%
0,0,2023.08.31,2,5.39,"66,900",5.18
1,1,2023.08.30,3,5.39,"67,100",5.18
2,2,2023.08.29,5,5.39,"66,800",5.18
3,3,2023.08.28,7,5.39,"66,800",5.18
4,4,2023.08.25,9,5.39,"67,100",5.18
5,5,2023.08.24,5,5.39,"68,200",5.18
6,6,2023.08.23,2,5.39,"67,100",5.18
7,7,2023.08.22,4,5.39,"66,600",5.18
8,8,2023.08.21,3,5.39,"66,600",5.18
9,9,2023.08.18,6,5.39,"66,300",5.18
10,10,2023.08.17,42,5.39,"66,700",5.18
11,11,2023.08.16,55,5.39,"67,000",5.23
12,12,2023.08.14,33,5.39,"67,300",5.18
13,13,2023.08.11,1,5.39,"67,500",5.18
14,14,2023.08.10,14,5.39,"68,000",5.18
15,15,2023.08.09,44,5.39,"68,900",5.18
16,16,2023.08.08,64,5.39,"67,600",5.18
17,17,2023.08.07,33,5.39,"68,500",5.29
18,18,2023.08.04,6,5.39,"68,300",5.18
19,19,2023.08.03,3,5.39,"68,800",5.18
20,20,2023.08.02,53,5.39,"69,900",5.18
21,21,2023.08.01,111,5.39,"71,100",5.18
